variable,description,unite,precision,periode_agregation
PRENEI,Précipitations solides,mm,0.1,]06UTC-06UTC]
PRELIQ,Précipitations liquides,mm,0.1,]06UTC-06UTC]
T,Température,°C,0.1,]00UTC-00UTC]
FF,Vent,m/s,0.1,]00UTC-00UTC]
Q,Humidité spécifique,g/kg,,]00UTC-00UTC]
DLI,Rayonnement atmosphérique,J/cm2,,]00UTC-00UTC]
SSI,Rayonnement visible,J/cm2,,]00UTC-00UTC]
HU,Humidité relative,%,,]00UTC-00UTC]
EVAP,Evapotranspiration totale,mm,0.1,]06UTC-06UTC]
ETP,Evapotranspiration potentielle (Penman-Monteith),mm,0.1,]06UTC-06UTC]
PE,Pluies efficaces,mm,0.1,]06UTC-06UTC]
SWI,Indice d'humidité des sols,%,,]06UTC-06UTC]
SSWI_10J,Indice sécheresse de l'humidité des sols sur 10 jours,sans unité,,
DRAINC,Drainage,mm,0.1,]06UTC-06UTC]
RUNC,Ruissellement,mm,0.1,]06UTC-06UTC]
RESR_NEIGE,Equivalent en eau du manteau neigeux,mm,0.1,]06UTC-06UTC]
RESR_NEIGE6,Equivalent en eau du manteau neigeux à 06 UTC,mm,0.1,06UTC
HTEURNEIGE,Epaisseur du manteau neigeux,m,,]06UTC-06UTC]
HTEURNEIGE6,Epaisseur du manteau neigeux à 06 UTC,m,,06UTC
HTEURNEIGEX,Epaisseur du manteau neigeux horaire maximum,m,,
SNOW_FRAC,Fraction de maille recouverte par la neige,%,,]06UTC-06UTC]
ECOULEMENT,Ecoulement à la base du manteau neigeux,mm,0.1,]06UTC-06UTC]
WG_RACINE,Contenu en eau liquide dans la couche racinaire à 06 UTC,m3/m3,,06UTC
WGI_RACINE,Contenu en eau gelée dans la couche racinaire à 06 UTC,m3/m3,,06UTC
TINF_H,Température minimale des 24 températures horaires,°C,0.1,]18UTC-18UTC]
TSUP_H,Température maximale des 24 températures horaires,°C,0.1,]06UTC-06UTC]
